model,fold,station,n_test_rows,nRMSE,MAE,MBE
model_c_weather_time,2,S_H_Ho_Sports_Hall,15743,0.15391358216819578,0.1118359446475023,0.08882206673197862
model_c_weather_time,1,Shaw_Auditorium,6711,0.10190923208710082,0.07208953939051227,0.005956962887425784
model_c_weather_time,5,UG_Hall2_2F,17467,0.1711132117670518,0.13549949024292343,0.12531200834919373
model_c_weather_time,2,UG_Hall2_RF,17358,0.1242251945564306,0.09296006342575776,0.07099914829862558
model_c_weather_time,5,UG_Hall3,17467,0.11673851479128708,0.08557093555215452,0.024656801832113707
model_c_weather_time,3,UG_Hall4,17468,0.10124510215717217,0.07327298643355212,0.01929956859675689
model_c_weather_time,5,UG_Hall6,17460,0.10848234465933944,0.07853432470685218,0.023549067108090998
model_c_weather_time,4,UG_Hall7,17465,0.11281712672212049,0.08520257300838173,0.06809525556388528
model_c_weather_time,2,UG_Hall8,14689,0.10967450893141659,0.07864664784772536,0.012392304536592591
model_c_weather_time,1,UG_Hall9,15560,0.11802973446115339,0.08331473697372124,-0.001902795289691859
model_c_weather_time,1,Wong_Check_She_Research_Centre,17456,0.10637598407883968,0.07622040859796718,0.023728510930074574
model_c_weather_time,3,Zone_A1,17435,0.10935178843387182,0.07820404369098499,0.05043965897621968
model_c_weather_time,5,Zone_A2,17014,0.15596026146314343,0.11308846750981791,0.0784495923135772
model_c_weather_time,1,Zone_A4,17459,0.11466404593344812,0.08495079172753846,0.05658668004421029
model_c_weather_time,4,Zone_A5,17468,0.10837070308132092,0.07964097767146593,0.037372198090044904
model_c_weather_time,3,Zone_A6,17459,0.10857656394672764,0.07836872741378657,0.01619511769254373
model_c_weather_time,2,Zone_A7,16124,0.10407876990261944,0.07644026907682874,0.03496038657453201
model_c_weather_time,4,Zone_D,17439,0.10537424534972376,0.07571284666542402,0.032404780079440074
model_c_weather_time,4,Zone_J1,16233,0.10941731264964097,0.07895827887750903,0.0037731388889891385
model_c_weather_time,1,Zone_J2,17449,0.15228598840531438,0.11187286881473911,0.09993393804155244
model_c_weather_time,4,Zone_L2,17300,0.10854286333414478,0.08062071062406526,0.05168870035023189
model_b_hybrid,3,Indoor_Sport_Center,17465,0.11579210774231595,0.07699459851345118,0.0272213941806288
model_b_hybrid,3,LSK_North,17465,0.09894616786479105,0.06828600529331838,0.010497113792098224
model_b_hybrid,4,LSK_South,15101,0.11015048022304012,0.07765319800667374,-0.0030247858012850187
model_b_hybrid,4,Library,16495,0.11330220831950327,0.07964952627270092,0.04093559218775274
model_b_hybrid,1,SQ1,17231,0.10301416265919779,0.0708148997221207,0.026046275807930317
model_b_hybrid,3,SQ2,17467,0.09908043322785189,0.06893089166484431,0.024380886875430448
model_b_hybrid,1,SQ3,17467,0.1049487227328676,0.07209292945303274,0.01606766896791265
model_b_hybrid,5,SQ4,17467,0.10783462190150306,0.0751805143116501,0.012126923990678821
model_b_hybrid,2,SQ567,17467,0.10141235050669689,0.07091456309171268,0.011312283710363021
model_b_hybrid,2,SQ_Apartment13_24,17443,0.1054896799618589,0.07503650801213324,0.01582710626313598
